longueur_onde,flux
5837.2563,7087.3579
5837.2715,7031.4990
5837.2861,6990.6230
5837.3013,6990.6230
5837.3164,7201.6543
5837.3315,7203.7231
5837.3462,7117.2793
5837.3613,6989.5464
5837.3765,6989.5464
5837.3911,6969.6763
5837.4062,6965.2329
5837.4214,6962.4424
5837.4365,6953.1631
5837.4512,6953.1631
5837.4663,6960.5693
5837.4814,6964.6377
5837.4966,6948.3975
5837.5112,6694.0757
5837.5264,6694.0757
5837.5415,6724.0527
5837.5562,6757.1978
5837.5713,6757.1978
5837.5864,6975.2695
5837.6016,7002.1909
5837.6162,7034.6997
5837.6313,7108.5562
5837.6465,7108.5562
5837.6611,7164.0513
5837.6763,7185.4771
5837.6914,7146.5239
5837.7065,6902.3975
5837.7212,6902.3975
5837.7363,6882.3652
5837.7515,6866.2427
5837.7661,6866.2427
5837.7812,7193.4087
5837.7964,7203.2378
5837.8115,7151.8013
5837.8262,7070.6416
5837.8413,7070.6416
5837.8564,7066.4336
5837.8716,7065.4165
5837.8862,7028.5103
5837.9014,6899.9419
5837.9165,6899.9419
5837.9312,6936.7070
5837.9463,6957.2925
5837.9614,6965.0786
5837.9766,7088.3579
5837.9912,7088.3579
5838.0063,6934.0337
5838.0215,6765.5483
5838.0361,6765.5483
5838.0513,7097.3408
5838.0664,7135.4238
5838.0815,7135.7900
5838.0962,7136.5811
5838.1113,7136.5811
5838.1265,6852.4829
5838.1411,6750.5405
5838.1562,6747.7407
5838.1714,6732.5732
5838.1865,6732.5732
5838.2012,6682.7642
5838.2163,6646.1108
5838.2314,6646.1108
5838.2466,6672.7627
5838.2612,6672.8530
5838.2764,6672.6660
5838.2915,6672.4043
5838.3062,6672.4043
5838.3213,6843.4893
5838.3364,6876.4023
5838.3516,6876.9019
5838.3662,6878.3223
5838.3813,6878.3223
5838.3965,6828.4658
5838.4111,6805.2144
5838.4263,6799.4482
5838.4414,6749.8135
5838.4565,6749.8135
5838.4712,6783.4097
5838.4863,6813.6221
5838.5015,6813.6221
5838.5161,6929.8506
5838.5312,6936.0625
5838.5464,6974.9160
5838.5615,7040.4136
5838.5762,7040.4136
5838.5913,6947.1318
5838.6064,6923.1841
5838.6216,6912.1416
5838.6362,6872.8574
5838.6514,6872.8574
5838.6665,6925.8579
5838.6812,6955.2295
5838.6963,6953.4526
5838.7114,6929.0024
5838.7266,6929.0024
5838.7412,6994.6357
5838.7563,7062.2925
5838.7715,7062.2925
5838.7861,6778.9590
5838.8013,6753.4380
5838.8164,6771.7661
5838.8315,6806.9282
5838.8462,6806.9282
5838.8613,6406.2661
5838.8765,6285.3940
5838.8911,6274.0532
5838.9062,6226.9800
5838.9214,6226.9800
5838.9365,6310.3633
5838.9512,6361.3892
5838.9663,6375.0977
5838.9814,6653.6167
5838.9966,6653.6167
5839.0112,6748.7710
5839.0264,6854.4634
5839.0415,6854.4634
5839.0562,6937.7930
5839.0713,6946.9551
5839.0864,6903.8594
5839.1016,6815.7378
5839.1162,6815.7378
5839.1313,7043.7402
5839.1465,7117.2354
5839.1611,7111.1890
5839.1763,7084.4360
5839.1914,7084.4360
5839.2065,7000.3794
5839.2212,6947.2666
5839.2363,6951.0610
5839.2515,7038.5991
5839.2661,7038.5991
5839.2812,7030.4590
5839.2964,7021.3027
5839.3115,7021.3027
5839.3262,6994.3071
5839.3413,6991.3076
5839.3564,6997.9653
5839.3716,7011.5015
5839.3862,7011.5015
5839.4014,6967.6611
5839.4165,6953.7959
5839.4312,7008.2017
5839.4463,7240.0415
5839.4614,7240.0415
5839.4766,7085.4995
5839.4912,6991.0698
5839.5063,6985.8018
5839.5215,6889.1533
5839.5361,6889.1533
5839.5513,6860.1978
5839.5664,6829.2017
5839.5815,6829.2017
5839.5962,7104.3604
5839.6113,7130.0586
5839.6265,7082.4019
5839.6411,6992.5234
5839.6562,6992.5234
5839.6714,7080.2822
5839.6865,7105.2158
5839.7012,7102.2173
5839.7163,7091.0229
5839.7314,7091.0229
5839.7466,6961.1182
5839.7612,6889.3618
5839.7764,6889.3643
5839.7915,6889.3921
5839.8062,6889.3921
5839.8213,6910.9614
5839.8364,6931.6128
5839.8516,6931.6128
5839.8662,6937.4033
5839.8813,6937.7422
5839.8965,7066.4438
5839.9111,7277.4688
5839.9263,7277.4688
5839.9414,6915.9233
5839.9565,6832.9277
5839.9712,6852.9570
5839.9863,6913.6670
5840.0015,6913.6670
5840.0161,6962.9795
5840.0312,6985.8491
5840.0464,6966.6289
5840.0615,6823.7695
5840.0762,6823.7695
5840.0913,6883.1924
5840.1064,6930.9702
5840.1216,6930.9702
5840.1362,6854.1401
5840.1514,6853.3926
5840.1665,6765.7051
5840.1812,6647.9053
5840.1963,6647.9053
5840.2114,6898.2954
5840.2266,6937.9053
5840.2412,6917.8506
5840.2563,6871.1499
5840.2715,6871.1499
5840.2861,7050.8721
5840.3013,7114.7627
5840.3164,7069.8862
5840.3315,6858.8740
5840.3462,6858.8740
5840.3613,6837.7212
5840.3765,6824.3857
5840.3911,6846.4824
5840.4062,7252.5596
5840.4214,7252.5596
5840.4365,7208.4233
5840.4512,7162.5225
5840.4663,7162.5225
5840.4814,6882.1538
5840.4966,6860.7622
5840.5112,6960.9233
5840.5264,7132.6875
5840.5415,7132.6875
5840.5562,7192.7900
5840.5713,7207.0825
5840.5864,7171.7271
5840.6016,7064.3779
5840.6162,7064.3779
5840.6313,7060.0254
5840.6465,7058.0513
5840.6611,7037.2402
5840.6763,6896.0254
5840.6914,6896.0254
5840.7065,6947.0801
5840.7212,6985.7100
5840.7363,6985.0244
5840.7515,6919.8501
5840.7661,6919.8501
5840.7812,7090.3467
5840.7964,7297.1660
5840.8115,7297.1660
5840.8262,7152.2930
5840.8413,7135.0513
5840.8564,7032.8989
5840.8716,6830.7949
5840.8862,6830.7949
5840.9014,7041.8530
5840.9165,7102.0215
5840.9312,7024.1431
5840.9463,6749.4634
5840.9614,6749.4634
5840.9766,6919.9331
5840.9912,7006.2139
5841.0063,7031.6030
5841.0215,7242.7754
5841.0361,7242.7754
5841.0513,7030.7295
5841.0664,6857.9497
5841.0815,6857.9497
5841.0962,6936.5776
5841.1113,6936.9707
5841.1265,6946.8477
5841.1411,6959.4502
5841.1562,6959.4502
5841.1714,6950.9893
5841.1865,6949.8794
5841.2012,7013.5527
5841.2163,7143.4253
5841.2314,7143.4253
5841.2466,7182.9131
5841.2612,7194.4253
5841.2764,7142.5068
5841.2915,6958.3076
5841.3062,6958.3076
5841.3213,6930.7178
5841.3364,6916.8701
5841.3516,6910.9277
5841.3662,6863.8438
5841.3813,6863.8438
5841.3965,6881.0898
5841.4111,6894.7153
5841.4263,6895.6812
5841.4414,7069.7231
5841.4565,7069.7231
5841.4712,7051.3374
5841.4863,7029.1113
5841.5015,7029.1113
5841.5161,7087.4580
5841.5312,7093.9224
5841.5464,6973.9048
5841.5615,6749.1475
5841.5762,6749.1475
5841.5913,6993.4492
5841.6064,7055.9551
5841.6216,7076.4922
5841.6362,7139.8628
5841.6514,7139.8628
5841.6665,7100.0400
5841.6812,7082.4458
5841.6963,7079.5894
5841.7114,7062.4268
5841.7266,7062.4268
5841.7412,6959.1973
5841.7563,6888.0957
5841.7715,6885.8662
