longueur_onde,flux
5837.2173,4281.2808
5837.2324,4264.9546
5837.2471,4247.4971
5837.2622,4247.4971
5837.2773,4302.7080
5837.2925,4309.1001
5837.3071,4305.0137
5837.3223,4295.9033
5837.3374,4295.9033
5837.3521,4036.9314
5837.3672,3937.9214
5837.3823,3975.7034
5837.3975,4212.7295
5837.4121,4212.7295
5837.4272,4183.3940
5837.4424,4159.5723
5837.4575,4159.5723
5837.4722,4126.9272
5837.4873,4125.7974
5837.5024,4123.3906
5837.5171,4119.4893
5837.5322,4119.4893
5837.5474,4084.5942
5837.5625,4075.6992
5837.5771,4078.4639
5837.5923,4088.7087
5837.6074,4088.7087
5837.6221,4128.2466
5837.6372,4151.6230
5837.6523,4153.5591
5837.6675,4194.9316
5837.6821,4194.9316
5837.6973,4282.3120
5837.7124,4384.3657
5837.7271,4384.3657
5837.7422,4182.1445
5837.7573,4154.0859
5837.7725,4157.2871
5837.7871,4164.9253
5837.8022,4164.9253
5837.8174,4098.7041
5837.8325,4072.0308
5837.8472,4104.1812
5837.8623,4318.0405
5837.8774,4318.0405
5837.8921,4380.2148
5837.9072,4431.3267
5837.9224,4431.3267
5837.9375,4113.1567
5837.9521,4102.3940
5837.9673,4080.0430
5837.9824,4044.4971
5837.9971,4044.4971
5838.0122,3789.0479
5838.0273,3727.2188
5838.0425,3801.0718
5838.0571,4056.1538
5838.0723,4056.1538
5838.0874,4139.2021
5838.1021,4185.0649
5838.1172,4187.0449
5838.1323,4215.8833
5838.1475,4215.8833
5838.1621,4194.2280
5838.1772,4171.1958
5838.1924,4171.1958
5838.2075,4203.6040
5838.2222,4206.9961
5838.2373,4200.3530
5838.2524,4186.6323
5838.2671,4186.6323
5838.2822,4071.1414
5838.2974,4032.1274
5838.3125,4067.1079
5838.3271,4239.0078
5838.3423,4239.0078
5838.3574,4174.5024
5838.3721,4129.8608
5838.3872,4133.2075
5838.4023,4383.0166
5838.4175,4383.0166
5838.4321,4260.2856
5838.4473,4101.3682
5838.4624,4101.3682
5838.4771,4206.0034
5838.4922,4223.2339
5838.5073,4191.8013
5838.5225,4111.6846
5838.5371,4111.6846
5838.5522,4191.0796
5838.5674,4224.2593
5838.5825,4240.3735
5838.5972,4349.1128
5838.6123,4349.1128
5838.6274,4272.0659
5838.6421,4209.8320
5838.6572,4209.8320
5838.6724,4220.3047
5838.6875,4220.5444
5838.7021,4223.3096
5838.7173,4227.4165
5838.7324,4227.4165
5838.7471,4256.6963
5838.7622,4262.8037
5838.7773,4295.0640
5838.7925,4390.4229
5838.8071,4390.4229
5838.8223,4297.6411
5838.8374,4253.6724
5838.8521,4289.2617
5838.8672,4594.3062
5838.8823,4594.3062
5838.8975,4627.7681
5838.9121,4657.3462
5838.9272,4657.3462
5838.9424,4190.7510
5838.9575,4170.0083
5838.9722,4239.1704
5838.9873,4349.9365
5839.0024,4349.9365
5839.0171,4443.5049
5839.0322,4465.2173
5839.0474,4448.7354
5839.0625,4396.3252
5839.0771,4396.3252
5839.0923,4381.9883
5839.1074,4374.8354
5839.1221,4374.4219
5839.1372,4370.4956
5839.1523,4370.4956
5839.1675,4242.4404
5839.1821,4126.0605
5839.1973,4126.0605
5839.2124,4305.3486
5839.2271,4314.2446
5839.2422,4307.1577
5839.2573,4295.6875
5839.2725,4295.6875
5839.2871,4203.4336
5839.3022,4181.9863
5839.3174,4173.3755
5839.3325,4146.2817
5839.3472,4146.2817
5839.3623,4200.5425
5839.3774,4227.1143
5839.3921,4243.4033
5839.4072,4387.2773
5839.4224,4387.2773
5839.4375,4265.7207
5839.4521,4158.9790
5839.4673,4158.9790
5839.4824,4066.2900
5839.4971,4062.7793
5839.5122,4087.1458
5839.5273,4124.4849
5839.5425,4124.4849
5839.5571,3998.1401
5839.5723,3971.6313
5839.5874,4055.4565
5839.6021,4295.8027
5839.6172,4295.8027
5839.6323,4441.3325
5839.6475,4506.4380
5839.6621,4494.3604
5839.6772,4408.6841
5839.6924,4408.6841
5839.7075,4313.5903
5839.7222,4237.8091
5839.7373,4237.8091
5839.7524,4239.8584
5839.7671,4239.8794
5839.7822,4256.8613
5839.7974,4279.9897
5839.8125,4279.9897
5839.8271,4232.4243
5839.8423,4224.5063
5839.8574,4233.6230
5839.8721,4255.7793
5839.8872,4255.7793
5839.9023,4409.6035
5839.9175,4467.6411
5839.9321,4461.6104
5839.9473,4430.1655
5839.9624,4430.1655
5839.9771,4355.4502
5839.9922,4304.8257
5840.0073,4298.6885
5840.0225,4110.5615
5840.0371,4110.5615
5840.0522,4168.2876
5840.0674,4234.0649
5840.0825,4234.0649
5840.0972,4408.8984
5840.1123,4427.5645
5840.1274,4359.0142
5840.1421,4225.9370
5840.1572,4225.9370
5840.1724,4285.9497
5840.1875,4303.1982
5840.2021,4277.1182
5840.2173,4181.2300
5840.2324,4181.2300
5840.2471,4292.7822
5840.2622,4352.5249
5840.2773,4350.3506
5840.2925,4328.0791
5840.3071,4328.0791
5840.3223,4210.4766
5840.3374,4104.9170
5840.3521,4104.9170
5840.3672,4328.4536
5840.3823,4336.4810
