longueur_onde,flux
5837.1729,5010.6597
5837.1880,4955.4072
5837.2026,4837.9482
5837.2178,4837.9482
5837.2329,4601.7764
5837.2480,4515.7192
5837.2627,4560.9619
5837.2778,4824.7134
5837.2930,4824.7134
5837.3076,5012.2104
5837.3228,5159.3979
5837.3379,5159.3979
5837.3530,4866.8564
5837.3677,4859.1504
5837.3828,4882.2412
5837.3979,4918.5464
5837.4131,4918.5464
5837.4277,4737.5483
5837.4429,4693.2842
5837.4580,4686.9609
5837.4727,4664.3521
5837.4878,4664.3521
5837.5029,4886.8125
5837.5181,5015.2817
5837.5327,5023.8247
5837.5479,5187.5293
5837.5630,5187.5293
5837.5776,5033.6567
5837.5928,4857.0371
5837.6079,4857.0371
5837.6230,4756.5991
5837.6377,4743.1475
5837.6528,4675.3120
5837.6680,4515.8984
5837.6826,4515.8984
5837.6978,4570.2393
5837.7129,4591.8525
5837.7280,4621.3999
5837.7427,4814.5415
5837.7578,4814.5415
5837.7729,4838.1963
5837.7881,4857.5312
5837.8027,4857.5312
5837.8179,4926.4448
5837.8330,4928.7148
5837.8477,4841.1455
5837.8628,4702.0264
5837.8779,4702.0264
5837.8931,4751.4966
5837.9077,4763.4951
5837.9229,4775.6138
5837.9380,4817.6909
5837.9526,4817.6909
5837.9678,4785.1089
5837.9829,4766.9980
5837.9980,4746.2217
5838.0127,4432.8550
5838.0278,4432.8550
5838.0430,4442.2817
5838.0576,4452.4155
5838.0728,4452.4155
5838.0879,4548.3979
5838.1030,4558.8262
5838.1177,4600.5771
5838.1328,4688.3350
5838.1479,4688.3350
5838.1631,4611.7651
5838.1777,4585.2910
5838.1929,4571.7510
5838.2080,4502.7734
5838.2227,4502.7734
5838.2378,4656.0322
5838.2529,4764.5693
5838.2681,4763.8770
5838.2827,4666.3525
5838.2979,4666.3525
5838.3130,4789.6660
5838.3276,4953.7930
5838.3428,4953.7930
5838.3579,4773.0542
5838.3730,4741.4771
5838.3877,4719.2998
5838.4028,4660.4956
5838.4180,4660.4956
5838.4326,4643.7334
5838.4478,4636.4380
5838.4629,4663.0674
5838.4780,4858.4194
5838.4927,4858.4194
5838.5078,4769.7529
5838.5229,4695.2764
5838.5381,4695.2764
5838.5527,4979.5371
5838.5679,4989.1377
5838.5830,4814.0479
5838.5977,4541.8926
5838.6128,4541.8926
5838.6279,4487.0566
5838.6431,4474.6880
5838.6577,4483.7656
5838.6729,4512.3960
5838.6880,4512.3960
5838.7026,4523.1050
5838.7178,4528.4790
5838.7329,4507.6465
5838.7480,4300.1919
5838.7627,4300.1919
