longueur_onde,flux
5837.2495,5020.7568
5837.2646,4894.9712
5837.2793,4842.4204
5837.2944,4875.6255
5837.3096,5122.6826
5837.3247,5122.6826
5837.3394,5043.3887
5837.3545,4973.6616
5837.3696,4973.6616
5837.3843,5104.8926
5837.3994,5112.3794
5837.4146,5177.3140
5837.4297,5292.6172
5837.4443,5292.6172
5837.4595,5174.8032
5837.4746,5140.5654
5837.4897,5107.0786
5837.5044,4964.0342
5837.5195,4964.0342
5837.5347,5051.9116
5837.5493,5109.3159
5837.5645,5110.5693
5837.5796,5170.8604
5837.5947,5170.8604
5837.6094,5054.2329
5837.6245,4903.4722
5837.6396,4903.4722
5837.6543,4928.9736
5837.6694,4933.3931
5837.6846,4935.0142
5837.6997,4939.4268
5837.7144,4939.4268
5837.7295,5041.0054
5837.7446,5087.6162
5837.7593,5077.5508
5837.7744,4989.4390
5837.7896,4989.4390
5837.8047,5057.0317
5837.8193,5119.4526
5837.8345,5119.4526
5837.8496,5020.4380
5837.8647,5013.8457
5837.8794,4973.9688
5837.8945,4901.6958
5837.9097,4901.6958
5837.9243,4834.7017
5837.9395,4815.1260
5837.9546,4790.3813
5837.9697,4686.5825
5837.9844,4686.5825
5837.9995,4629.8330
5838.0146,4593.7686
5838.0293,4601.4390
5838.0444,4843.7695
5838.0596,4843.7695
5838.0747,4892.7539
5838.0894,4952.5649
5838.1045,4952.5649
5838.1196,4940.7012
5838.1343,4938.9302
5838.1494,4909.9082
5838.1646,4838.9585
5838.1797,4838.9585
5838.1943,4828.2881
5838.2095,4823.9473
5838.2246,4834.3433
5838.2397,4902.9321
5838.2544,4902.9321
5838.2695,4985.3032
5838.2847,5051.9526
5838.2993,5051.9526
5838.3145,4958.7554
5838.3296,4956.2866
5838.3447,4952.0142
5838.3594,4945.4966
5838.3745,4945.4966
5838.3896,4888.2910
5838.4043,4875.5645
5838.4194,4854.1899
5838.4346,4786.6538
5838.4497,4786.6538
5838.4644,4816.7798
5838.4795,4832.0854
5838.4946,4830.8213
5838.5093,4817.4033
5838.5244,4817.4033
5838.5396,4822.1621
5838.5547,4826.7441
5838.5693,4826.7441
5838.5845,4927.3486
5838.5996,4934.5640
5838.6147,4865.8677
5838.6294,4742.1558
5838.6445,4742.1558
5838.6597,4552.5601
5838.6743,4499.4897
5838.6895,4493.8682
5838.7046,4472.1841
5838.7197,4472.1841
5838.7344,4600.0415
5838.7495,4674.8804
5838.7646,4679.8740
5838.7793,4764.0640
5838.7944,4764.0640
5838.8096,4756.1196
5838.8247,4747.5654
5838.8394,4747.5654
5838.8545,4863.3418
5838.8696,4875.1621
5838.8843,4938.4189
5838.8994,5064.8271
5838.9146,5064.8271
5838.9297,5019.2114
5838.9443,5004.8057
5838.9595,5029.8369
5838.9746,5138.8237
5838.9897,5138.8237
5839.0044,4996.3950
5839.0195,4906.8076
5839.0347,4908.7681
5839.0493,4954.2920
5839.0645,4954.2920
5839.0796,4939.7148
5839.0947,4923.2119
5839.1094,4923.2119
5839.1245,5114.1230
5839.1396,5136.0298
5839.1543,5116.2432
5839.1694,5075.2261
5839.1846,5075.2261
5839.1997,4982.2007
5839.2144,4951.8662
5839.2295,4928.3892
5839.2446,4823.6392
5839.2593,4823.6392
5839.2744,4968.2656
5839.2896,5059.8042
5839.3047,5054.2998
5839.3193,4928.8027
5839.3345,4928.8027
5839.3496,4997.8047
5839.3647,5075.0083
5839.3794,5075.0083
5839.3945,5136.8530
5839.4097,5143.5566
5839.4243,5106.6230
5839.4395,5032.5679
5839.4546,5032.5679
5839.4697,4970.5127
5839.4844,4951.3076
5839.4995,4975.1299
5839.5146,5073.5635
5839.5293,5073.5635
5839.5444,4913.6040
5839.5596,4818.1875
5839.5747,4825.6548
5839.5894,4946.4966
5839.6045,4946.4966
5839.6196,5007.9199
5839.6343,5071.7622
5839.6494,5071.7622
5839.6646,5096.9155
5839.6797,5099.0200
5839.6943,5053.7266
5839.7095,4971.6426
5839.7246,4971.6426
5839.7397,4829.9321
5839.7544,4791.9614
5839.7695,4811.5034
5839.7847,4879.9536
5839.7993,4879.9536
5839.8145,4964.9946
5839.8296,5009.6265
5839.8447,5011.0981
5839.8594,5026.0063
5839.8745,5026.0063
5839.8896,4873.7285
5839.9043,4735.5186
5839.9194,4735.5186
5839.9346,4861.6938
5839.9497,4867.1035
5839.9644,4949.1182
5839.9795,5075.3247
5839.9946,5075.3247
5840.0093,4832.8711
5840.0244,4782.9258
5840.0396,4778.3530
5840.0547,4765.6582
5840.0693,4765.6582
5840.0845,4845.0210
5840.0996,4878.9116
5840.1147,4917.9438
5840.1294,5163.7969
5840.1445,5163.7969
5840.1597,5147.9736
5840.1743,5136.2100
5840.1895,5135.8740
5840.2046,5104.1484
5840.2197,5104.1484
5840.2344,5006.9048
5840.2495,4886.9326
5840.2646,4886.9326
5840.2793,5132.8125
5840.2944,5164.6973
5840.3096,5151.0601
5840.3247,5122.4834
5840.3394,5122.4834
5840.3545,5010.3950
5840.3696,4975.2324
5840.3843,4981.8315
5840.3994,5008.2793
5840.4146,5008.2793
5840.4297,4993.4351
5840.4443,4985.0303
5840.4595,4983.9453
5840.4746,4971.0459
5840.4897,4971.0459
5840.5044,5194.6094
5840.5195,5403.4575
5840.5347,5403.4575
5840.5493,5132.3877
5840.5645,5120.1372
5840.5796,5064.2842
5840.5947,4979.3867
5840.6094,4979.3867
5840.6245,4894.6221
5840.6396,4878.1392
5840.6543,4929.3550
5840.6694,5062.4351
5840.6846,5062.4351
5840.6997,4919.5044
5840.7144,4863.6201
5840.7295,4892.8047
5840.7446,5045.7427
5840.7593,5045.7427
5840.7744,5034.4966
5840.7896,5027.0586
