longueur_onde,flux
5837.2441,4396.5601
5837.2593,4552.5010
5837.2739,4552.5010
5837.2891,4458.3481
5837.3042,4363.9927
5837.3193,4363.9927
5837.3340,4589.3740
5837.3491,4610.8481
5837.3643,4618.6401
5837.3789,4634.6870
5837.3940,4634.6870
5837.4092,4522.2192
5837.4243,4482.9175
5837.4390,4497.0718
5837.4541,4573.9258
5837.4692,4573.9258
5837.4844,4584.4487
5837.4990,4592.3765
5837.5142,4592.3765
5837.5293,4558.3574
5837.5439,4557.8545
5837.5591,4515.3291
5837.5742,4451.7695
5837.5894,4451.7695
5837.6040,4425.8716
5837.6191,4420.0557
5837.6343,4429.8687
5837.6489,4462.2344
5837.6641,4462.2344
5837.6792,4345.5977
5837.6943,4282.5210
5837.7090,4282.9990
5837.7241,4289.8008
5837.7393,4289.8008
5837.7539,4299.2661
5837.7690,4309.4102
5837.7842,4309.4102
5837.7993,4423.9727
5837.8140,4436.7041
5837.8291,4359.8545
5837.8442,4194.7349
5837.8594,4194.7349
5837.8740,4272.7910
5837.8892,4300.8569
5837.9043,4327.5356
5837.9189,4474.3467
5837.9341,4474.3467
5837.9492,4504.0737
5837.9644,4526.2861
5837.9790,4526.2861
5837.9941,4359.8911
5838.0093,4358.4150
5838.0239,4386.0312
5838.0391,4425.7070
5838.0542,4425.7070
5838.0693,4347.8813
5838.0840,4331.9287
5838.0991,4281.9766
5838.1143,4131.8813
5838.1289,4131.8813
5838.1440,4201.6709
5838.1592,4236.0718
5838.1743,4248.3262
5838.1890,4371.8242
5838.2041,4371.8242
5838.2192,4352.0952
5838.2344,4333.2168
5838.2490,4333.2168
5838.2642,4463.3604
5838.2793,4472.8423
5838.2939,4410.2119
5838.3091,4295.6582
5838.3242,4295.6582
5838.3394,4261.4067
5838.3540,4251.4727
5838.3691,4280.3438
5838.3843,4397.8887
5838.3989,4397.8887
5838.4141,4219.3818
5838.4292,4109.7471
5838.4443,4099.8110
5838.4590,3874.0286
5838.4741,3874.0286
5838.4893,4032.1128
5838.5039,4213.9165
5838.5190,4213.9165
5838.5342,4292.3926
5838.5493,4302.2529
5838.5640,4276.1299
5838.5791,4218.5132
5838.5942,4218.5132
5838.6094,4283.6025
5838.6240,4306.9663
5838.6392,4370.6919
5838.6543,4705.0698
5838.6689,4705.0698
5838.6841,4544.2505
5838.6992,4429.9771
5838.7144,4430.1099
5838.7290,4444.0269
5838.7441,4444.0269
5838.7593,4442.1074
5838.7739,4439.6104
5838.7891,4439.6104
5838.8042,4539.9629
5838.8193,4556.2891
5838.8340,4562.1304
5838.8491,4576.7222
5838.8643,4576.7222
5838.8789,4443.0640
5838.8940,4388.9912
5838.9092,4400.9136
5838.9243,4475.1445
5838.9390,4475.1445
5838.9541,4537.5972
5838.9692,4585.6572
5838.9844,4585.6572
5838.9990,4402.3428
5839.0142,4400.8955
5839.0293,4360.1963
5839.0439,4303.8853
5839.0591,4303.8853
5839.0742,4446.8140
5839.0894,4472.5903
5839.1040,4473.8164
5839.1191,4477.0459
5839.1343,4477.0459
5839.1489,4504.9307
5839.1641,4516.6821
5839.1792,4510.1763
5839.1943,4467.4487
5839.2090,4467.4487
5839.2241,4348.1392
5839.2393,4254.8071
5839.2539,4254.8071
5839.2690,4566.0088
5839.2842,4569.0439
5839.2993,4508.9448
5839.3140,4425.9219
5839.3291,4425.9219
5839.3442,4571.5967
5839.3594,4597.3433
5839.3740,4569.6909
5839.3892,4498.5894
5839.4043,4498.5894
5839.4189,4467.8809
5839.4341,4455.3701
5839.4492,4442.5630
5839.4644,4364.7754
5839.4790,4364.7754
5839.4941,4431.8511
5839.5093,4481.9341
5839.5239,4481.8403
5839.5391,4458.5479
5839.5542,4458.5479
5839.5693,4491.1323
5839.5840,4533.3208
5839.5991,4533.3208
5839.6143,4364.4243
5839.6289,4338.7119
5839.6440,4340.5674
5839.6592,4344.8916
5839.6743,4344.8916
5839.6890,4387.3120
5839.7041,4402.7612
5839.7192,4400.0903
5839.7344,4386.6816
5839.7490,4386.6816
5839.7642,4521.4927
5839.7793,4611.5728
5839.7939,4611.1094
5839.8091,4597.5830
5839.8242,4597.5830
5839.8394,4598.0049
5839.8540,4598.4854
5839.8691,4598.4854
5839.8843,4477.9570
5839.8989,4464.7808
5839.9141,4469.7344
5839.9292,4479.5195
5839.9443,4479.5195
5839.9590,4350.3350
5839.9741,4311.9731
5839.9893,4334.7207
5840.0039,4422.2358
5840.0190,4422.2358
5840.0342,4480.6069
5840.0493,4513.1724
5840.0640,4503.8223
5840.0791,4392.9741
5840.0942,4392.9741
