longueur_onde,flux
5837.2402,3463.7598
5837.2554,3618.8525
5837.2700,3618.8525
5837.2852,3484.3018
5837.3003,3401.5215
5837.3154,3408.8464
5837.3301,3627.8667
5837.3452,3627.8667
5837.3604,3595.2979
5837.3750,3554.8311
5837.3901,3554.8311
5837.4053,3418.8494
5837.4204,3396.6792
5837.4351,3395.9924
5837.4502,3394.1733
5837.4653,3394.1733
5837.4805,3331.9041
5837.4951,3303.7349
5837.5103,3307.1799
5837.5254,3337.0691
5837.5400,3337.0691
5837.5552,3393.4165
5837.5703,3445.7449
5837.5854,3445.7449
5837.6001,3417.8062
5837.6152,3415.8303
5837.6304,3397.2163
5837.6450,3362.6038
5837.6602,3362.6038
5837.6753,3457.4231
5837.6904,3486.4221
5837.7051,3494.8406
5837.7202,3532.6282
5837.7354,3532.6282
5837.7500,3472.9839
5837.7651,3433.0383
5837.7803,3433.0974
5837.7954,3436.7507
5837.8101,3436.7507
5837.8252,3474.4446
5837.8403,3523.7502
5837.8555,3523.7502
5837.8701,3422.3708
5837.8853,3404.6091
5837.9004,3370.6899
5837.9150,3278.4609
5837.9302,3278.4609
5837.9453,3483.8745
5837.9604,3577.3892
5837.9751,3568.1345
5837.9902,3489.8862
5838.0054,3489.8862
5838.0200,3492.9702
5838.0352,3495.7644
5838.0503,3495.7644
5838.0654,3405.1519
5838.0801,3399.7666
5838.0952,3341.0103
5838.1104,3238.1008
5838.1250,3238.1008
5838.1401,3257.9619
5838.1553,3263.4565
5838.1704,3288.2930
5838.1851,3385.5215
5838.2002,3385.5215
5838.2153,3393.0303
5838.2305,3397.5557
5838.2451,3395.9883
5838.2603,3362.5337
5838.2754,3362.5337
5838.2900,3445.0701
5838.3052,3539.6995
5838.3203,3539.6995
5838.3354,3465.0137
5838.3501,3455.5276
5838.3652,3435.8289
5838.3804,3391.7876
5838.3950,3391.7876
5838.4102,3434.8708
5838.4253,3450.7163
5838.4404,3444.8682
5838.4551,3412.6145
5838.4702,3412.6145
5838.4854,3481.6821
5838.5000,3532.4863
5838.5151,3532.4863
5838.5303,3467.0339
5838.5454,3466.9805
5838.5601,3480.9099
5838.5752,3499.9490
5838.5903,3499.9490
5838.6055,3488.0300
5838.6201,3485.8628
5838.6353,3507.5046
5838.6504,3565.9875
5838.6650,3565.9875
5838.6802,3554.6921
5838.6953,3549.7205
5838.7104,3537.6531
5838.7251,3448.2756
5838.7402,3448.2756
5838.7554,3433.6008
5838.7700,3421.2927
5838.7852,3421.2927
5838.8003,3506.6338
5838.8154,3509.3572
5838.8301,3586.4126
5838.8452,3704.6282
5838.8604,3704.6282
5838.8750,3533.0874
5838.8901,3495.5486
5838.9053,3552.0627
5838.9204,3724.7017
5838.9351,3724.7017
5838.9502,3559.9810
5838.9653,3479.9832
5838.9805,3475.9082
5838.9951,3439.1917
5839.0103,3439.1917
5839.0254,3465.1873
5839.0400,3488.5181
5839.0552,3488.5181
5839.0703,3634.3647
5839.0854,3641.3264
5839.1001,3604.4673
5839.1152,3544.8845
5839.1304,3544.8845
5839.1450,3429.2322
5839.1602,3402.1484
5839.1753,3429.9150
5839.1904,3518.5066
5839.2051,3518.5066
5839.2202,3448.8318
5839.2354,3414.0977
5839.2500,3428.2361
5839.2651,3560.8577
5839.2803,3560.8577
5839.2954,3572.3936
5839.3101,3582.8027
5839.3252,3582.8027
5839.3403,3495.1592
5839.3555,3491.0593
5839.3701,3512.6785
5839.3853,3547.1733
5839.4004,3547.1733
5839.4150,3465.9973
5839.4302,3447.6384
5839.4453,3517.0872
5839.4604,3729.7786
5839.4751,3729.7786
5839.4902,3615.4099
5839.5054,3560.8594
5839.5200,3552.2092
5839.5352,3480.9807
5839.5503,3480.9807
5839.5654,3524.1885
5839.5801,3561.0190
5839.5952,3561.0190
5839.6104,3688.7119
5839.6250,3692.4304
5839.6401,3685.7529
5839.6553,3675.8972
5839.6704,3675.8972
5839.6851,3423.6736
5839.7002,3374.3318
5839.7153,3432.9751
5839.7305,3592.1768
5839.7451,3592.1768
5839.7603,3576.2380
5839.7754,3569.4827
5839.7900,3559.2544
5839.8052,3494.1533
5839.8203,3494.1533
5839.8354,3446.0515
5839.8501,3409.6973
5839.8652,3410.4358
5839.8804,3612.9287
5839.8950,3612.9287
5839.9102,3587.9368
5839.9253,3555.8738
5839.9404,3555.8738
5839.9551,3676.4089
5839.9702,3693.9822
5839.9854,3669.0010
5840.0000,3612.8203
5840.0151,3612.8203
5840.0303,3659.9565
5840.0454,3676.2478
5840.0601,3638.3416
5840.0752,3464.2737
5840.0903,3464.2737
5840.1055,3403.3154
5840.1201,3365.1250
5840.1353,3376.3752
5840.1504,3585.1763
5840.1650,3585.1763
5840.1802,3652.0261
5840.1953,3722.2332
5840.2104,3722.2332
5840.2251,3467.4744
5840.2402,3446.7285
5840.2554,3496.2390
5840.2700,3583.5117
5840.2852,3583.5117
5840.3003,3485.5276
5840.3154,3460.9617
5840.3301,3493.3472
5840.3452,3597.3530
5840.3604,3597.3530
5840.3750,3578.9832
5840.3901,3570.1650
5840.4053,3566.2046
5840.4204,3535.4851
5840.4351,3535.4851
5840.4502,3622.2490
5840.4653,3692.3662
5840.4805,3692.3662
5840.4951,3599.3384
5840.5103,3598.6096
5840.5254,3606.6580
5840.5400,3617.2517
5840.5552,3617.2517
5840.5703,3477.7051
5840.5854,3457.1353
5840.6001,3433.3823
5840.6152,3380.9221
5840.6304,3380.9221
5840.6450,3508.1775
5840.6602,3550.1199
5840.6753,3568.8523
5840.6904,3647.2407
5840.7051,3647.2407
5840.7202,3628.2876
5840.7354,3617.3442
5840.7500,3612.5791
5840.7651,3554.1189
5840.7803,3554.1189
5840.7954,3604.6169
5840.8101,3651.7769
5840.8252,3651.7769
5840.8403,3550.0435
5840.8555,3545.7090
5840.8701,3640.9714
5840.8853,3782.9778
5840.9004,3782.9778
5840.9150,3530.0305
5840.9302,3483.3398
5840.9453,3532.5979
5840.9604,3654.8655
5840.9751,3654.8655
5840.9902,3617.5747
5841.0054,3603.8171
5841.0200,3593.1506
5841.0352,3542.5625
5841.0503,3542.5625
5841.0654,3532.0112
5841.0801,3525.4915
5841.0952,3526.4712
5841.1104,3541.2017
5841.1250,3541.2017
5841.1401,3465.4578
5841.1553,3391.7949
5841.1704,3391.7949
5841.1851,3653.0159
5841.2002,3666.2207
5841.2153,3621.9849
5841.2305,3554.8281
5841.2451,3554.8281
5841.2603,3642.5610
5841.2754,3658.9409
5841.2900,3639.0317
5841.3052,3589.9434
5841.3203,3589.9434
5841.3354,3524.5193
5841.3501,3500.8999
5841.3652,3529.4629
5841.3804,3658.4822
5841.3950,3658.4822
5841.4102,3599.3931
5841.4253,3564.4048
5841.4404,3573.4810
5841.4551,3685.0237
5841.4702,3685.0237
5841.4854,3563.0693
5841.5000,3451.7173
5841.5151,3451.7173
5841.5303,3541.1804
5841.5454,3543.8982
5841.5601,3534.7593
5841.5752,3522.0676
5841.5903,3522.0676
5841.6055,3730.9771
5841.6201,3763.0059
5841.6353,3711.2644
5841.6504,3599.1743
5841.6650,3599.1743
5841.6802,3552.2195
5841.6953,3537.7871
5841.7104,3544.4099
5841.7251,3568.6924
5841.7402,3568.6924
5841.7554,3550.1069
5841.7700,3540.7024
5841.7852,3560.6997
5841.8003,3716.0476
5841.8154,3716.0476
5841.8301,3650.4741
5841.8452,3599.8655
5841.8604,3596.8464
5841.8750,3399.6716
5841.8901,3399.6716
5841.9053,3510.8848
5841.9204,3638.2859
5841.9351,3638.2859
5841.9502,3588.9727
5841.9653,3584.5327
5841.9805,3541.4663
5841.9951,3467.8333
5842.0103,3467.8333
5842.0254,3490.5554
5842.0400,3495.5095
5842.0552,3489.6919
5842.0703,3474.2219
5842.0854,3474.2219
5842.1001,3515.6758
5842.1152,3531.3303
5842.1304,3523.4080
5842.1450,3487.0237
5842.1602,3487.0237
5842.1753,3432.1611
5842.1904,3400.2229
5842.2051,3405.4978
5842.2202,3461.8313
5842.2354,3461.8313
5842.2500,3402.8586
5842.2651,3352.5222
5842.2803,3352.5222
5842.2954,3647.8049
5842.3101,3649.6736
5842.3252,3670.1509
5842.3403,3695.3572
5842.3555,3695.3572
5842.3701,3617.0935
5842.3853,3608.6951
5842.4004,3594.3745
5842.4150,3568.7231
5842.4302,3568.7231
5842.4453,3542.8101
5842.4604,3536.8794
5842.4751,3549.1479
5842.4902,3582.3911
5842.5054,3582.3911
5842.5200,3516.5425
5842.5352,3491.6543
5842.5503,3509.1501
5842.5654,3587.6963
5842.5801,3587.6963
5842.5952,3569.7715
5842.6104,3559.6428
5842.6250,3560.4863
5842.6401,3568.4243
5842.6553,3568.4243
5842.6704,3563.0471
5842.6851,3558.7087
5842.7002,3557.5283
5842.7153,3453.4993
5842.7305,3453.4993
5842.7451,3531.6487
5842.7603,3620.0276
5842.7754,3620.0276
5842.7900,3504.7236
5842.8052,3495.7341
5842.8203,3520.8579
5842.8354,3560.7571
5842.8501,3560.7571
5842.8652,3416.5435
5842.8804,3390.1750
5842.8950,3383.6138
5842.9102,3368.6467
5842.9253,3368.6467
5842.9404,3493.3750
5842.9551,3531.8066
5842.9702,3546.6680
5842.9854,3598.0176
5843.0000,3598.0176
5843.0151,3538.7180
5843.0303,3511.4204
5843.0454,3502.1089
5843.0601,3447.3875
5843.0752,3447.3875
5843.0903,3514.3086
5843.1055,3557.7478
5843.1201,3574.1599
5843.1353,3800.2529
5843.1504,3800.2529
5843.1650,3649.4343
5843.1802,3515.3081
5843.1953,3515.3081
5843.2104,3556.5527
5843.2251,3556.9177
5843.2402,3572.8271
5843.2554,3592.0002
5843.2700,3592.0002
5843.2852,3642.3689
5843.3003,3646.9841
5843.3154,3680.4678
5843.3301,3735.3391
5843.3452,3735.3391
5843.3604,3546.1765
5843.3750,3510.7314
5843.3901,3557.5098
5843.4053,3663.7317
5843.4204,3663.7317
5843.4351,3661.0696
5843.4502,3660.2725
5843.4653,3650.7007
5843.4805,3619.3335
5843.4951,3619.3335
5843.5103,3622.7280
5843.5254,3624.1943
5843.5400,3615.8914
5843.5552,3573.3074
5843.5703,3573.3074
5843.5854,3473.9180
