longueur_onde,flux
5837.2656,5171.8945
5837.2808,5275.6875
5837.2954,5404.9448
5837.3105,5404.9448
5837.3257,5136.1123
5837.3408,5091.8306
5837.3555,5142.9902
5837.3706,5279.7441
5837.3857,5279.7441
5837.4004,5109.4385
5837.4155,5031.5713
5837.4307,5045.1245
5837.4458,5166.3789
5837.4604,5166.3789
5837.4756,5236.3521
5837.4907,5302.2100
5837.5059,5302.2100
5837.5205,5293.5537
5837.5356,5292.9028
5837.5508,5227.0210
5837.5654,5102.1094
5837.5806,5102.1094
5837.5957,5118.3511
5837.6108,5123.4561
5837.6255,5150.9287
5837.6406,5278.9194
5837.6558,5278.9194
5837.6704,5296.6377
5837.6855,5308.8037
5837.7007,5309.9619
5837.7158,5432.4229
5837.7305,5432.4229
5837.7456,5313.7085
5837.7607,5153.8604
5837.7754,5153.8604
5837.7905,5227.3569
5837.8057,5241.0161
5837.8208,5220.1865
5837.8354,5161.1172
5837.8506,5161.1172
5837.8657,5206.3599
5837.8809,5227.8042
5837.8955,5220.4634
5837.9106,5151.7217
5837.9258,5151.7217
5837.9404,5171.3018
5837.9556,5189.7524
5837.9707,5189.7524
5837.9858,5371.5161
5838.0005,5384.4604
5838.0156,5257.5190
5838.0308,5024.3462
5838.0454,5024.3462
5838.0605,5078.8540
5838.0757,5094.9697
5838.0908,5066.9736
5838.1055,4948.7144
5838.1206,4948.7144
5838.1357,5055.9194
5838.1504,5124.0747
5838.1655,5119.2500
5838.1807,4971.2949
5838.1958,4971.2949
5838.2104,4968.3203
5838.2256,4964.7158
5838.2407,4964.7158
5838.2559,5135.9136
5838.2705,5160.8188
5838.2856,5139.5903
5838.3008,5088.6562
5838.3154,5088.6562
5838.3306,5100.4570
5838.3457,5105.1460
5838.3608,5098.1929
5838.3755,5054.5679
5838.3906,5054.5679
5838.4058,5212.4521
5838.4204,5336.7075
5838.4355,5336.7075
5838.4507,5013.6660
5838.4658,5007.7539
5838.4805,5061.0215
5838.4956,5139.3516
5838.5107,5139.3516
5838.5254,5122.6582
5838.5405,5119.1865
5838.5557,5097.3462
5838.5708,5032.2451
5838.5854,5032.2451
5838.6006,5122.1919
5838.6157,5165.5195
5838.6309,5152.2227
5838.6455,5031.0737
5838.6606,5031.0737
5838.6758,4910.9893
5838.6904,4801.5625
5838.7056,4801.5625
5838.7207,4793.3584
5838.7358,4792.9067
5838.7505,4821.3896
5838.7656,4869.3105
5838.7808,4869.3105
5838.7954,4845.1602
5838.8105,4839.0483
5838.8257,4836.5879
5838.8408,4828.0464
5838.8555,4828.0464
5838.8706,4841.9209
5838.8857,4849.4082
5838.9004,4871.4980
5838.9155,5141.1562
5838.9307,5141.1562
5838.9458,5043.3838
5838.9604,4946.4810
5838.9756,4946.4810
5838.9907,5390.0078
5839.0059,5423.8721
5839.0205,5288.3008
5839.0356,5043.2769
5839.0508,5043.2769
5839.0654,5099.4609
5839.0806,5114.9702
5839.0957,5108.8335
5839.1108,5085.9458
5839.1255,5085.9458
5839.1406,5095.5132
5839.1558,5100.9058
5839.1704,5089.9663
5839.1855,4939.8892
5839.2007,4939.8892
5839.2158,5225.6499
5839.2305,5515.2549
5839.2456,5515.2549
5839.2607,5133.7837
5839.2754,5103.1626
5839.2905,5168.6777
5839.3057,5287.6890
5839.3208,5287.6890
5839.3354,5086.8574
5839.3506,5031.7583
5839.3657,5059.7085
5839.3809,5161.9473
5839.3955,5161.9473
5839.4106,5151.0903
5839.4258,5145.1147
5839.4404,5145.6021
5839.4556,5151.5586
5839.4707,5151.5586
5839.4858,5235.3237
5839.5005,5316.9316
5839.5156,5316.9316
5839.5308,5142.4023
5839.5454,5130.8188
5839.5605,5087.1270
5839.5757,5012.5151
5839.5908,5012.5151
5839.6055,5144.9668
5839.6206,5177.8330
5839.6357,5225.7251
5839.6504,5383.0449
5839.6655,5383.0449
5839.6807,5287.8228
5839.6958,5240.0439
5839.7104,5229.4512
5839.7256,5132.7236
5839.7407,5132.7236
5839.7559,5136.7319
5839.7705,5140.2603
5839.7856,5140.2603
5839.8008,5256.9165
5839.8154,5261.1108
5839.8306,5216.2852
5839.8457,5148.7817
5839.8608,5148.7817
5839.8755,5223.6489
5839.8906,5238.6436
5839.9058,5253.1333
5839.9204,5292.8022
5839.9355,5292.8022
5839.9507,4974.5938
5839.9658,4839.6782
5839.9805,4870.7676
5839.9956,5066.1343
5840.0107,5066.1343
5840.0254,5056.9316
5840.0405,5050.0635
5840.0557,5052.4644
5840.0708,5339.4033
5840.0854,5339.4033
5840.1006,5233.7051
5840.1157,5101.4937
5840.1309,5101.4937
5840.1455,5152.3765
5840.1606,5159.2769
5840.1758,5182.6997
5840.1904,5233.1216
5840.2056,5233.1216
5840.2207,5148.1948
5840.2358,5120.5044
5840.2505,5132.5386
5840.2656,5183.3896
5840.2808,5183.3896
5840.2954,5276.9419
5840.3105,5332.1382
5840.3257,5319.7920
5840.3408,5147.3379
5840.3555,5147.3379
5840.3706,5130.8086
5840.3857,5114.6069
5840.4004,5114.6069
5840.4155,4992.9829
5840.4307,4985.7021
5840.4458,5025.1362
5840.4604,5088.8384
5840.4756,5088.8384
5840.4907,5080.6416
5840.5059,5078.8608
5840.5205,5115.9067
5840.5356,5220.8193
5840.5508,5220.8193
5840.5654,5175.1704
5840.5806,5155.6758
5840.5957,5153.4395
5840.6108,5139.7949
5840.6255,5139.7949
5840.6406,5159.1089
5840.6558,5173.0229
5840.6704,5174.2158
5840.6855,5227.2642
5840.7007,5227.2642
5840.7158,5252.1328
5840.7305,5280.9712
5840.7456,5280.9712
5840.7607,5428.2617
5840.7754,5443.8291
5840.7905,5357.1069
5840.8057,5193.2583
5840.8208,5193.2583
5840.8354,4990.6123
5840.8506,4936.1265
5840.8657,4946.8999
5840.8809,4982.8828
5840.8955,4982.8828
5840.9106,5119.8037
5840.9258,5186.3130
5840.9404,5192.5059
5840.9556,5239.6929
5840.9707,5239.6929
5840.9858,5174.4780
5841.0005,5123.0903
5841.0156,5122.8447
5841.0308,5038.0493
5841.0454,5038.0493
5841.0605,5121.9526
5841.0757,5225.8398
5841.0908,5225.8398
5841.1055,5081.5464
5841.1206,5063.8984
5841.1357,5098.6826
5841.1504,5167.5566
5841.1655,5167.5566
5841.1807,5268.2300
5841.1958,5296.5537
5841.2104,5239.8394
5841.2256,5045.1748
5841.2407,5045.1748
5841.2559,5023.9419
5841.2705,5013.5366
5841.2856,5021.4502
5841.3008,5081.2134
5841.3154,5081.2134
5841.3306,5086.9404
5841.3457,5091.3848
5841.3608,5093.3311
5841.3755,5295.6582
5841.3906,5295.6582
5841.4058,5288.7446
5841.4204,5280.5063
5841.4355,5280.5063
5841.4507,5345.4883
5841.4658,5352.4375
5841.4805,5267.4980
5841.4956,5110.3120
5841.5107,5110.3120
5841.5254,5174.0381
5841.5405,5190.1157
5841.5557,5189.0117
5841.5708,5185.6387
5841.5854,5185.6387
5841.6006,5253.1230
5841.6157,5282.7446
5841.6309,5224.5459
5841.6455,4877.5698
5841.6606,4877.5698
5841.6758,5034.8062
5841.6904,5142.8833
5841.7056,5144.8301
5841.7207,5189.2803
5841.7358,5189.2803
5841.7505,5118.8892
5841.7656,5046.0962
5841.7808,5046.0962
5841.7954,5062.2954
5841.8105,5063.3008
5841.8257,5080.1885
5841.8408,5106.3979
5841.8555,5106.3979
5841.8706,5018.5835
5841.8857,5002.1621
5841.9004,5068.2217
5841.9155,5227.3296
5841.9307,5227.3296
5841.9458,5070.7065
5841.9604,5016.9897
5841.9756,5076.6401
5841.9907,5321.0532
5842.0059,5321.0532
5842.0205,5281.7544
5842.0356,5260.4126
5842.0508,5248.9458
5842.0654,5146.0317
5842.0806,5146.0317
5842.0957,5273.3047
5842.1108,5376.2764
5842.1255,5374.9795
5842.1406,5145.1045
5842.1558,5145.1045
5842.1704,5102.3848
5842.1855,5051.9868
5842.2007,5051.9868
5842.2158,5239.2935
5842.2305,5257.3120
5842.2456,5285.6533
5842.2607,5334.7388
5842.2754,5334.7388
5842.2905,5160.1636
5842.3057,5121.8828
5842.3208,5178.8496
5842.3354,5329.3418
5842.3506,5329.3418
5842.3657,5180.6523
5842.3809,5125.4761
5842.3955,5106.4375
5842.4106,5022.2451
5842.4258,5022.2451
5842.4404,5126.0581
5842.4556,5184.4971
5842.4707,5185.2559
5842.4858,5192.4385
5842.5005,5192.4385
5842.5156,5157.9253
5842.5308,5129.8672
5842.5454,5132.1812
5842.5605,5421.4336
5842.5757,5421.4336
5842.5908,5321.9404
5842.6055,5207.2930
5842.6206,5207.2930
5842.6357,5284.5947
5842.6504,5291.1694
5842.6655,5216.9521
5842.6807,5095.3105
5842.6958,5095.3105
5842.7104,5211.6836
5842.7256,5234.4175
5842.7407,5191.3457
5842.7559,5088.1807
5842.7705,5088.1807
5842.7856,5332.2622
5842.8008,5412.4058
5842.8154,5383.4810
5842.8306,5275.5918
5842.8457,5275.5918
5842.8608,5302.6230
5842.8755,5315.9165
5842.8906,5299.0308
5842.9058,5185.6060
5842.9204,5185.6060
5842.9355,5181.1631
5842.9507,5178.0645
5842.9658,5177.1499
5842.9805,5159.4141
5842.9956,5159.4141
5843.0107,5144.3394
5843.0254,5129.8115
5843.0405,5129.8115
5843.0557,5131.8950
5843.0708,5131.9600
5843.0854,5151.0347
5843.1006,5176.2559
5843.1157,5176.2559
5843.1309,4989.8701
5843.1455,4967.2534
5843.1606,5025.6460
5843.1758,5132.5410
5843.1904,5132.5410
5843.2056,5109.1338
5843.2207,5103.8237
5843.2358,5106.4116
5843.2505,5113.1592
5843.2656,5113.1592
5843.2808,5111.7773
5843.2954,5111.2910
5843.3105,5099.6938
5843.3257,5054.0103
5843.3408,5054.0103
5843.3555,5089.1558
5843.3706,5106.8164
5843.3857,5100.8750
5843.4004,5060.7515
5843.4155,5060.7515
5843.4307,5118.2085
5843.4458,5157.6885
5843.4604,5155.3481
5843.4756,5116.4795
5843.4907,5116.4795
5843.5059,5165.3174
5843.5205,5210.1870
5843.5356,5210.1870
5843.5508,4883.2710
5843.5654,4878.5889
5843.5806,5012.3896
5843.5957,5175.3232
5843.6108,5175.3232
5843.6255,5147.6592
5843.6406,5145.1313
5843.6558,5153.5166
5843.6704,5167.0864
5843.6855,5167.0864
5843.7007,5223.8052
5843.7158,5233.9771
5843.7305,5241.4131
5843.7456,5257.6387
5843.7607,5257.6387
5843.7754,5338.6670
5843.7905,5361.4023
5843.8057,5361.3516
5843.8208,5361.1968
5843.8354,5361.1968
5843.8506,5155.6309
5843.8657,5073.7495
5843.8809,5076.4707
5843.8955,5088.6416
5843.9106,5088.6416
5843.9258,5153.2183
5843.9404,5187.8862
5843.9556,5171.5122
5843.9707,5050.2144
5843.9858,5050.2144
5844.0005,5227.2549
5844.0156,5351.5537
5844.0308,5345.3179
5844.0454,5241.0107
5844.0605,5241.0107
5844.0757,5206.0859
5844.0908,5174.5664
5844.1055,5174.5664
5844.1206,5397.3364
5844.1357,5398.4160
5844.1504,5318.8403
5844.1655,5227.3013
5844.1807,5227.3013
5844.1958,5254.9585
5844.2104,5256.8740
5844.2256,5238.4673
5844.2407,5211.5093
5844.2559,5211.5093
5844.2705,5082.0332
5844.2856,5063.8037
5844.3008,5097.7979
5844.3154,5161.5596
5844.3306,5161.5596
5844.3457,5151.2705
5844.3608,5149.0000
5844.3755,5251.6084
5844.3906,5501.5688
5844.4058,5501.5688
5844.4204,5236.7783
5844.4355,5154.6025
5844.4507,5158.0083
5844.4658,5169.0586
5844.4805,5169.0586
5844.4956,5227.8193
5844.5107,5252.0083
5844.5254,5266.3228
5844.5405,5330.8818
5844.5557,5330.8818
5844.5708,5199.7266
5844.5854,5130.6172
5844.6006,5152.7686
5844.6157,5302.7891
5844.6309,5302.7891
5844.6455,5265.4336
5844.6606,5240.8120
5844.6758,5229.4736
5844.6904,5093.7974
5844.7056,5093.7974
5844.7207,5115.7773
5844.7358,5133.6284
5844.7505,5135.9058
5844.7656,5218.3501
5844.7808,5218.3501
5844.7954,5209.4209
5844.8105,5200.5718
5844.8257,5200.5718
5844.8408,5142.7002
5844.8555,5141.3945
5844.8706,5063.6475
5844.8857,4970.1274
5844.9004,4970.1274
5844.9155,5066.0386
5844.9307,5073.2256
5844.9458,5087.1289
5844.9604,5107.3892
5844.9756,5107.3892
5844.9907,5187.7534
5845.0059,5198.3052
5845.0205,5232.4092
5845.0356,5292.7114
5845.0508,5292.7114
5845.0654,5212.3760
5845.0806,5196.9468
5845.0957,5198.9800
5845.1108,5203.3643
5845.1255,5203.3643
5845.1406,5194.6982
5845.1558,5192.4648
5845.1704,5179.5444
5845.1855,5145.2642
5845.2007,5145.2642
5845.2158,5204.1128
5845.2305,5223.4507
5845.2456,5202.4277
5845.2607,5132.8042
5845.2754,5132.8042
5845.2905,5155.6040
5845.3057,5164.8486
5845.3208,5139.5234
5845.3354,5032.5425
5845.3506,5032.5425
5845.3657,5088.7617
5845.3809,5116.2461
5845.3955,5105.1367
5845.4106,5043.2554
5845.4258,5043.2554
5845.4404,5138.9731
5845.4556,5194.4482
5845.4707,5182.7422
5845.4858,5092.0234
5845.5005,5092.0234
5845.5156,5142.8618
5845.5308,5177.3486
5845.5454,5166.3252
5845.5605,5035.4424
5845.5757,5035.4424
5845.5908,5033.2695
5845.6055,5031.5620
5845.6206,5034.9355
5845.6357,5111.1841
5845.6504,5111.1841
5845.6655,5198.5464
5845.6807,5277.5254
5845.6958,5276.7456
5845.7104,5184.2432
5845.7256,5184.2432
5845.7407,5126.8394
5845.7559,5067.5303
5845.7705,5067.5303
5845.7856,5157.6543
5845.8008,5159.9038
5845.8154,5263.7749
5845.8306,5385.8169
5845.8457,5385.8169
5845.8608,5237.2173
5845.8755,5228.4429
5845.8906,5202.9941
5845.9058,5169.1265
5845.9204,5169.1265
5845.9355,5158.9971
5845.9507,5158.0459
5845.9658,5199.6294
5845.9805,5262.1138
5845.9956,5262.1138
5846.0107,5067.7744
5846.0254,5042.6055
5846.0405,4976.8481
5846.0557,4865.5679
5846.0708,4865.5679
5846.0854,5289.9570
5846.1006,5360.2842
5846.1157,5289.1787
5846.1309,5153.9321
5846.1455,5153.9321
5846.1606,5243.0894
5846.1758,5261.1372
5846.1904,5283.8140
5846.2056,5332.2144
5846.2207,5332.2144
5846.2358,5310.8188
5846.2505,5305.6943
5846.2656,5242.0610
5846.2808,5089.8472
5846.2954,5089.8472
5846.3105,5145.9390
5846.3257,5161.4678
5846.3408,5136.5503
5846.3555,5069.8184
5846.3706,5069.8184
5846.3857,5193.2314
5846.4004,5232.0112
5846.4155,5224.5693
5846.4307,5202.2725
5846.4458,5202.2725
5846.4604,5199.2383
5846.4756,5198.1719
5846.4907,5192.3833
5846.5059,5172.9980
5846.5205,5172.9980
5846.5356,5198.5508
5846.5508,5208.4751
5846.5654,5191.5303
5846.5806,5128.1392
5846.5957,5128.1392
5846.6108,5221.5933
5846.6255,5261.2827
5846.6406,5250.4277
5846.6558,5205.1025
5846.6704,5205.1025
5846.6855,5209.8145
5846.7007,5211.9829
5846.7158,5182.2358
5846.7305,5043.7471
5846.7456,5043.7471
5846.7607,5141.4971
5846.7754,5189.8364
5846.7905,5196.2964
5846.8057,5229.7769
5846.8208,5229.7769
