longueur_onde,flux
5837.2036,3939.9548
5837.2188,4010.2590
5837.2334,4014.5300
5837.2485,3882.0520
5837.2637,3642.1111
5837.2788,3642.1111
5837.2935,3847.7041
5837.3086,3909.3979
5837.3237,3943.9797
5837.3384,4098.4092
5837.3535,4098.4092
5837.3687,4270.4019
5837.3838,4386.4805
5837.3984,4382.7964
5837.4136,4064.7310
5837.4287,4064.7310
5837.4438,3990.1057
5837.4585,3889.6223
5837.4736,3889.6223
5837.4888,3782.5195
5837.5034,3762.3000
5837.5186,3812.1912
5837.5337,3956.7803
5837.5488,3956.7803
5837.5635,4001.9668
5837.5786,4024.0032
5837.5938,4020.1274
5837.6084,3980.0408
5837.6235,3980.0408
5837.6387,3987.6143
5837.6538,3995.0542
5837.6685,3995.0542
5837.6836,3930.8401
5837.6987,3925.3350
5837.7134,3906.1743
5837.7285,3868.6377
5837.7437,3868.6377
5837.7588,4035.7241
5837.7734,4089.8943
5837.7886,4097.6816
5837.8037,4134.9834
5837.8188,4134.9834
5837.8335,4045.1755
5837.8486,3982.9106
5837.8638,3983.4246
5837.8784,4041.8372
5837.8936,4041.8372
5837.9087,3917.7212
5837.9238,3751.3049
5837.9385,3751.3049
5837.9536,3809.0925
5837.9688,3819.6121
5837.9834,3895.3013
5837.9985,4105.1221
5838.0137,4105.1221
5838.0288,4212.7979
5838.0435,4262.4224
5838.0586,4240.0098
5838.0737,4047.4470
5838.0884,4047.4470
5838.1035,3895.1423
5838.1187,3756.9600
5838.1338,3756.9600
5838.1484,3673.4441
5838.1636,3668.5527
5838.1787,3679.3455
5838.1938,3698.0935
5838.2085,3698.0935
5838.2236,3698.2136
5838.2388,3698.2463
5838.2534,3713.8381
5838.2686,3773.3335
5838.2837,3773.3335
5838.2988,3982.8982
5838.3135,4106.3608
5838.3286,4100.6987
5838.3438,3995.7886
5838.3584,3995.7886
5838.3735,4050.4446
5838.3887,4111.2280
5838.4038,4111.2280
5838.4185,4073.2324
5838.4336,4068.8235
5838.4487,4055.9866
5838.4634,4028.5703
5838.4785,4028.5703
5838.4937,4023.6870
5838.5088,4021.9897
5838.5234,4040.1802
5838.5386,4131.8271
5838.5537,4131.8271
5838.5688,3990.0593
5838.5835,3891.3142
5838.5986,3892.2849
5838.6138,3962.7971
5838.6284,3962.7971
5838.6436,4003.3181
5838.6587,4055.3030
5838.6738,4055.3030
5838.6885,4070.1541
5838.7036,4072.5154
5838.7188,4080.5913
5838.7334,4100.5669
5838.7485,4100.5669
5838.7637,4145.4775
5838.7788,4163.5288
5838.7935,4183.9326
5838.8086,4310.3047
5838.8237,4310.3047
5838.8384,4222.2129
5838.8535,4154.4028
5838.8687,4154.4028
5838.8838,4138.7031
5838.8984,4138.5669
5838.9136,4059.9314
5838.9287,3950.4700
5838.9438,3950.4700
5838.9585,4118.9946
5838.9736,4149.8984
5838.9888,4097.1572
5839.0034,3956.2322
5839.0186,3956.2322
5839.0337,3985.8628
5839.0488,3998.5649
5839.0635,4018.8110
5839.0786,4156.8999
5839.0938,4156.8999
5839.1084,4179.9512
5839.1235,4198.3501
5839.1387,4198.3501
5839.1538,3998.6531
5839.1685,3995.5442
5839.1836,4090.9539
5839.1987,4226.2559
5839.2134,4226.2559
5839.2285,4141.9116
5839.2437,4126.1719
5839.2588,4073.1235
5839.2734,3931.3142
5839.2886,3931.3142
5839.3037,3936.1938
5839.3188,3938.2646
5839.3335,3933.2656
5839.3486,3900.4526
5839.3638,3900.4526
5839.3784,3933.4258
5839.3936,3959.0552
5839.4087,3959.0552
5839.4238,4177.0454
5839.4385,4178.4868
5839.4536,4039.6211
5839.4688,3851.3733
5839.4834,3851.3733
5839.4985,3909.5635
5839.5137,3919.3584
5839.5288,3969.7322
5839.5435,4094.4834
5839.5586,4094.4834
5839.5737,4012.5044
5839.5884,3980.5735
5839.6035,3979.3906
5839.6187,3972.7947
5839.6338,3972.7947
5839.6484,3860.7666
5839.6636,3781.1980
5839.6787,3786.5889
5839.6938,4085.8293
5839.7085,4085.8293
5839.7236,4085.5664
5839.7388,4085.2466
5839.7534,4085.2466
5839.7686,3931.2053
5839.7837,3911.1143
5839.7988,3944.9209
5839.8135,4017.2373
5839.8286,4017.2373
5839.8438,4059.3245
5839.8584,4073.1436
5839.8735,4071.7908
5839.8887,4065.9243
5839.9038,4065.9243
5839.9185,3955.3796
5839.9336,3888.2798
5839.9487,3903.0259
5839.9634,4144.7900
5839.9785,4144.7900
5839.9937,4149.1162
5840.0088,4153.5649
5840.0234,4153.5649
5840.0386,4152.4956
5840.0537,4152.4141
5840.0688,4154.1528
5840.0835,4157.1777
5840.0986,4157.1777
5840.1138,4076.5964
5840.1284,4056.6379
5840.1436,4105.0342
5840.1587,4259.7432
5840.1738,4259.7432
5840.1885,4099.7236
5840.2036,4022.8159
5840.2188,4040.7368
5840.2334,4181.6558
5840.2485,4181.6558
5840.2637,4109.7534
5840.2788,4051.0596
5840.2935,4051.0596
5840.3086,4120.5342
5840.3237,4121.3330
5840.3384,4089.3276
5840.3535,4046.3821
5840.3687,4046.3821
5840.3838,4078.8257
5840.3984,4083.8579
5840.4136,4128.0146
5840.4287,4228.7598
5840.4438,4228.7598
5840.4585,4317.7383
5840.4736,4348.3433
5840.4888,4331.1987
5840.5034,4255.0269
5840.5186,4255.0269
5840.5337,4023.6758
5840.5488,3884.0933
5840.5635,3890.8257
5840.5786,3989.3013
5840.5938,3989.3013
5840.6084,3930.0947
5840.6235,3871.9675
5840.6387,3871.9675
5840.6538,4142.3242
5840.6685,4157.8999
5840.6836,4169.6768
5840.6987,4188.3486
5840.7134,4188.3486
5840.7285,4194.5259
5840.7437,4195.8062
5840.7588,4155.4741
5840.7734,4046.5500
5840.7886,4046.5500
5840.8037,4113.9502
5840.8188,4141.1577
5840.8335,4129.5200
5840.8486,4066.0454
5840.8638,4066.0454
5840.8784,3988.6304
5840.8936,3936.5408
5840.9087,3943.9976
5840.9238,4118.7065
5840.9385,4118.7065
5840.9536,4020.0188
5840.9688,3914.9783
5840.9834,3914.9783
5840.9985,4083.8774
5841.0137,4096.9419
5841.0288,4062.8987
5841.0435,4005.5063
5841.0586,4005.5063
5841.0737,4161.8115
5841.0884,4196.8809
5841.1035,4168.8003
5841.1187,4089.4983
5841.1338,4089.4983
5841.1484,4168.7383
5841.1636,4201.6450
5841.1787,4179.0840
5841.1938,4053.1770
5841.2085,4053.1770
5841.2236,3950.4443
5841.2388,3881.2881
5841.2534,3891.2722
5841.2686,4109.7695
5841.2837,4109.7695
5841.2988,4134.2881
5841.3135,4159.8032
5841.3286,4159.8032
5841.3438,4082.5525
5841.3584,4077.3333
5841.3735,4105.4263
5841.3887,4150.5498
5841.4038,4150.5498
5841.4185,4250.0835
5841.4336,4270.3252
5841.4487,4230.4185
5841.4634,4127.0996
5841.4785,4127.0996
5841.4937,4140.8398
5841.5088,4146.0107
5841.5234,4134.2910
5841.5386,4078.9773
5841.5537,4078.9773
5841.5688,4132.1040
5841.5835,4164.1958
5841.5986,4152.4922
5841.6138,4002.3770
5841.6284,4002.3770
5841.6436,4021.9954
5841.6587,4039.9924
5841.6738,4039.9924
5841.6885,4228.1943
5841.7036,4233.7964
5841.7188,4137.6616
5841.7334,4005.4241
5841.7485,4005.4241
5841.7637,4115.3398
5841.7788,4131.5986
5841.7935,4130.4785
5841.8086,4128.1162
5841.8237,4128.1162
5841.8384,4000.8174
5841.8535,3963.3213
5841.8687,4003.4324
5841.8838,4142.7002
5841.8984,4142.7002
5841.9136,4002.8225
5841.9287,3935.4976
5841.9438,3937.1143
5841.9585,3948.2407
5841.9736,3948.2407
5841.9888,4050.1870
5842.0034,4124.3237
5842.0186,4126.5059
5842.0337,4193.8369
5842.0488,4193.8369
5842.0635,4147.7417
5842.0786,4098.6260
5842.0938,4098.6260
5842.1084,4445.4634
5842.1235,4468.7026
5842.1387,4360.5273
5842.1538,4191.7510
5842.1685,4191.7510
5842.1836,4504.1597
5842.1987,4561.7720
5842.2134,4357.4341
5842.2285,3876.8276
5842.2437,3876.8276
5842.2588,3856.4797
5842.2734,3849.7935
5842.2886,3900.8643
5842.3037,4096.0981
5842.3188,4096.0981
5842.3335,4136.7578
5842.3486,4157.4863
5842.3638,4151.3296
5842.3784,4105.1572
5842.3936,4105.1572
