longueur_onde,flux
5837.1963,4451.7974
5837.2114,4517.7964
5837.2261,4517.7964
5837.2412,4596.4053
5837.2563,4664.1650
5837.2715,4664.1650
5837.2861,4575.0400
5837.3013,4570.3857
5837.3164,4590.9219
5837.3311,4626.8047
5837.3462,4626.8047
5837.3613,4727.8105
5837.3765,4756.6440
5837.3911,4670.5034
5837.4062,4308.4219
5837.4214,4308.4219
5837.4365,4642.8359
5837.4512,4859.5786
5837.4663,4856.1226
5837.4814,4699.7915
5837.4961,4699.7915
5837.5112,4797.0195
5837.5264,4922.3701
5837.5415,4922.3701
5837.5562,4896.2920
5837.5713,4891.7739
5837.5864,4808.4956
5837.6011,4581.2158
5837.6162,4581.2158
5837.6313,4381.0615
5837.6465,4288.7183
5837.6611,4323.1543
5837.6763,4630.5210
5837.6914,4630.5210
5837.7061,4576.5449
5837.7212,4526.2217
5837.7363,4526.2217
5837.7515,4374.4609
5837.7661,4363.8408
5837.7812,4406.7051
5837.7964,4485.6177
5837.8115,4485.6177
5837.8262,4309.6958
5837.8413,4257.0605
5837.8564,4309.3149
5837.8711,4535.4087
5837.8862,4535.4087
5837.9014,4601.4141
5837.9165,4644.3154
5837.9312,4648.3428
5837.9463,4807.1890
5837.9614,4807.1890
5837.9761,4784.1631
5837.9912,4755.2930
5838.0063,4755.2930
5838.0215,4688.0659
5838.0361,4677.3926
5838.0513,4659.1484
5838.0664,4612.8330
5838.0811,4612.8330
5838.0962,4464.2192
5838.1113,4401.2842
5838.1265,4391.5610
5838.1411,4322.0635
5838.1562,4322.0635
5838.1714,4531.1943
5838.1865,4707.0044
5838.2012,4707.0044
5838.2163,4514.4756
5838.2314,4507.3154
5838.2461,4435.4932
5838.2612,4320.9194
5838.2764,4320.9194
5838.2915,4268.5337
5838.3062,4255.9907
5838.3213,4287.6626
5838.3364,4394.5244
5838.3511,4394.5244
5838.3662,4315.2881
5838.3813,4272.7627
5838.3965,4284.4648
5838.4111,4432.6538
5838.4263,4432.6538
5838.4414,4301.2529
5838.4561,4167.7026
5838.4712,4167.7026
5838.4863,4178.2788
5838.5015,4179.2104
5838.5161,4200.6479
5838.5312,4241.8198
5838.5464,4241.8198
5838.5615,4292.8652
5838.5762,4308.4492
5838.5913,4349.4087
5838.6064,4523.8813
5838.6211,4523.8813
5838.6362,4595.5649
5838.6514,4640.5420
5838.6665,4647.7754
5838.6812,4825.4810
5838.6963,4825.4810
5838.7114,4669.1519
5838.7261,4488.6226
5838.7412,4488.6226
5838.7563,4262.7686
5838.7715,4234.6724
5838.7861,4343.4902
5838.8013,4580.1650
5838.8164,4580.1650
5838.8311,4661.4053
5838.8462,4689.8193
5838.8613,4689.2729
5838.8765,4686.5498
5838.8911,4686.5498
5838.9062,4673.3125
5838.9214,4664.2515
5838.9365,4663.6396
5838.9512,4634.4424
5838.9663,4634.4424
5838.9814,4618.4312
5838.9961,4598.6792
5839.0112,4598.6792
5839.0264,4536.8408
5839.0415,4528.0234
5839.0562,4625.4385
5839.0713,4849.5015
5839.0864,4849.5015
5839.1011,4696.4727
5839.1162,4640.2041
5839.1313,4614.6216
5839.1465,4479.9136
5839.1611,4479.9136
5839.1763,4413.0830
5839.1914,4366.3271
5839.2061,4369.6909
5839.2212,4559.0688
5839.2363,4559.0688
5839.2515,4626.5498
5839.2661,4710.0835
5839.2812,4710.0835
5839.2964,4668.7236
5839.3115,4662.8994
5839.3262,4705.9248
5839.3413,4803.2310
5839.3564,4803.2310
5839.3711,4684.2354
5839.3862,4641.7607
5839.4014,4590.3203
5839.4165,4334.8716
5839.4312,4334.8716
5839.4463,4371.3462
5839.4614,4395.8042
5839.4761,4405.6685
