longueur_onde,flux
5837.2607,6117.5381
5837.2759,6030.2095
5837.2905,5916.6113
5837.3057,5916.6113
5837.3208,5999.6924
5837.3359,6014.6182
5837.3506,6053.4292
5837.3657,6163.1763
5837.3809,6163.1763
5837.3955,6070.9351
5837.4106,6026.5449
5837.4258,5997.4307
5837.4409,5700.4443
5837.4556,5700.4443
5837.4707,5861.9312
5837.4858,6021.0059
5837.5010,6021.0059
5837.5156,5902.7500
5837.5308,5892.2651
5837.5459,5858.1963
5837.5605,5790.1616
5837.5757,5790.1616
5837.5908,5983.5425
5837.6060,6048.3169
5837.6206,6068.6494
5837.6357,6171.6768
5837.6509,6171.6768
5837.6655,6042.3604
5837.6807,5949.0498
5837.6958,5949.0498
5837.7109,5949.5186
5837.7256,5949.5195
5837.7407,5901.2949
5837.7559,5833.0059
5837.7705,5833.0059
5837.7856,6085.7563
5837.8008,6137.2012
5837.8159,6113.2788
5837.8306,6040.8096
5837.8457,6040.8096
5837.8608,5948.2896
5837.8760,5901.8467
5837.8906,5909.4326
5837.9058,5992.4634
5837.9209,5992.4634
5837.9355,5999.4858
5837.9507,6006.4531
5837.9658,6006.4531
5837.9810,6238.0596
5837.9956,6258.0615
5838.0107,6171.7339
5838.0259,6003.6851
5838.0405,6003.6851
5838.0557,6144.7896
5838.0708,6189.7051
5838.0859,6205.7046
5838.1006,6279.5708
5838.1157,6279.5708
5838.1309,5923.8984
5838.1455,5684.6440
5838.1606,5685.0459
5838.1758,5707.0063
5838.1909,5707.0063
5838.2056,5843.7651
5838.2207,6018.9614
5838.2358,6018.9614
5838.2510,5618.0903
5838.2656,5552.3652
5838.2808,5595.0571
5838.2959,5704.7290
5838.3105,5704.7290
5838.3257,5882.5898
5838.3408,5958.2461
5838.3560,5956.2944
5838.3706,5942.4121
5838.3857,5942.4121
5838.4009,6062.8130
5838.4155,6163.2246
5838.4307,6163.2246
5838.4458,6109.3232
5838.4609,6107.5171
5838.4756,5986.7046
5838.4907,5797.9048
5838.5059,5797.9048
5838.5205,5966.9189
5838.5356,6005.7559
5838.5508,5984.0415
5838.5659,5913.9053
5838.5806,5913.9053
5838.5957,5984.6074
5838.6108,6021.0327
5838.6260,6015.0542
5838.6406,5949.7471
5838.6558,5949.7471
5838.6709,5920.2930
5838.6855,5891.7744
5838.7007,5891.7744
5838.7158,5675.3384
5838.7310,5659.6924
5838.7456,5734.7915
5838.7607,5869.8091
5838.7759,5869.8091
5838.7905,5772.8057
5838.8057,5745.8525
5838.8208,5743.3237
5838.8359,5733.6968
5838.8506,5733.6968
5838.8657,5800.0103
5838.8809,5838.3262
5838.8955,5823.9521
5838.9106,5598.2983
5838.9258,5598.2983
5838.9409,5485.7256
5838.9556,5366.8037
5838.9707,5366.8037
5838.9858,5592.7339
5839.0010,5614.2607
5839.0156,5765.7412
5839.0308,6059.7363
5839.0459,6059.7363
5839.0605,6054.4180
5839.0757,6052.8062
5839.0908,6033.5454
5839.1060,5954.0601
5839.1206,5954.0601
5839.1357,5845.6548
5839.1509,5780.0645
5839.1655,5775.9502
5839.1807,5699.9082
5839.1958,5699.9082
5839.2109,5729.7095
5839.2256,5762.0015
5839.2407,5762.0015
5839.2559,5890.2505
5839.2705,5903.1104
5839.2856,6002.5303
5839.3008,6197.1597
5839.3159,6197.1597
5839.3306,6026.3149
5839.3457,5974.6079
5839.3608,5914.2827
5839.3760,5669.2188
5839.3906,5669.2188
5839.4058,5899.9419
5839.4209,6036.7749
5839.4355,6025.3125
5839.4507,5839.9111
5839.4658,5839.9111
5839.4810,5900.0229
5839.4956,5962.8281
5839.5107,5962.8281
5839.5259,5862.8242
5839.5405,5854.1494
5839.5557,5794.1982
5839.5708,5683.6548
5839.5859,5683.6548
5839.6006,5820.1875
5839.6157,5857.9375
5839.6309,5829.6670
5839.6455,5726.7407
5839.6606,5726.7407
5839.6758,5919.3237
5839.6909,6023.9917
